a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
a1	386023259550	on	22	23
b1	389523259550	off	33	34
